"player1","player2","win1","win2"
"Ajla Tomljanovic","Anastasia Pavlyuchenkova",0,1
"Ajla Tomljanovic","Anett Kontaveit",1,0
"Ajla Tomljanovic","Anna Bondar",0,1
"Ajla Tomljanovic","Anna Karolina Schmiedlova",1,0
"Ajla Tomljanovic","Camila Giorgi",1,0
"Ajla Tomljanovic","Christina Mchale",1,0
"Ajla Tomljanovic","Clara Tauson",0,1
"Ajla Tomljanovic","Elena Rybakina",0,1
"Ajla Tomljanovic","Garbine Muguruza",0,1
"Ajla Tomljanovic","Irina Camelia Begu",0,1
"Ajla Tomljanovic","Jelena Ostapenko",0,1
"Ajla Tomljanovic","Kateryna Baindl",1,0
"Ajla Tomljanovic","Lesia Tsurenko",1,0
"Ajla Tomljanovic","Marie Bouzkova",1,0
"Ajla Tomljanovic","Marketa Vondrousova",1,0
"Ajla Tomljanovic","Ons Jabeur",0,1
"Ajla Tomljanovic","Rebecca Peterson",0,1
"Ajla Tomljanovic","Sloane Stephens",0,1
"Varvara Gracheva","Ajla Tomljanovic",1,0
"Ajla Tomljanovic","Yulia Putintseva",0,1
"Aldila Sutjiadi","Ankita Raina",0,1
"Qiang Wang","Aldila Sutjiadi",1,0
"Aleksandra Krunic","Aliaksandra Sasnovich",0,1
"Aleksandra Krunic","Ana Bogdan",1,0
"Aleksandra Krunic","Andrea Petkovic",0,1
"Aleksandra Krunic","Anna Karolina Schmiedlova",1,0
"Aleksandra Krunic","Bernarda Pera",0,1
"Cori Gauff","Aleksandra Krunic",1,0
"Aleksandra Krunic","Dalma Galfi",1,0
"Aleksandra Krunic","Ipek Oz",1,0
"Aleksandra Krunic","Kamilla Rakhimova",1,1
"Aleksandra Krunic","Laura Siegemund",1,0
"Aleksandra Krunic","Petra Martic",0,1
"Aleksandra Krunic","Shuai Zhang",1,0
"Sofia Nami Samavati","Aleksandra Krunic",0,1
"Aleksandra Krunic","Veronika Kudermetova",0,1
"Aleksandra Krunic","Xiyu Wang",1,0
"Aleksandra Krunic","Yuki Naito",1,0
"Aleksandra Krunic","Yulia Putintseva",1,0
"Aliaksandra Sasnovich","Angelique Kerber",1,1
"Aliaksandra Sasnovich","Anhelina Kalinina",0,1
"Aliaksandra Sasnovich","Aryna Sabalenka",0,1
"Aliaksandra Sasnovich","Bernarda Pera",0,1
"Aliaksandra Sasnovich","Camila Osorio",0,1
"Aliaksandra Sasnovich","Cristina Bucsa",1,0
"Aliaksandra Sasnovich","Diane Parry",1,0
"Aliaksandra Sasnovich","Emma Raducanu",1,0
"Aliaksandra Sasnovich","Kateryna Baindl",0,1
"Aliaksandra Sasnovich","Martina Trevisan",0,1
"Aliaksandra Sasnovich","Maryna Zanevska",0,1
"Aliaksandra Sasnovich","Panna Udvardy",0,1
"Aliaksandra Sasnovich","Paula Badosa",0,1
"Aliaksandra Sasnovich","Veronika Kudermetova",1,0
"Aliaksandra Sasnovich","Xin Yu Wang",1,0
"Xiyu Wang","Aliaksandra Sasnovich",0,1
"Aryna Sabalenka","Alison Riske Amritraj",1,0
"Alison Riske Amritraj","Bianca Andreescu",0,1
"Alison Riske Amritraj","Caty Mcnally",1,0
"Alison Riske Amritraj","Dayana Yastremska",1,0
"Alison Riske Amritraj","Iga Swiatek",0,3
"Alison Van Uytvanck","Ana Konjuh",0,1
"Cori Gauff","Alison Van Uytvanck",1,0
"Alison Van Uytvanck","Harmony Tan",0,1
"Alison Van Uytvanck","Martina Trevisan",0,1
"Alycia Parks","Alize Cornet",0,1
"Alize Cornet","Angelique Kerber",0,1
"Alize Cornet","Anhelina Kalinina",0,1
"Alize Cornet","Bernarda Pera",1,0
"Alize Cornet","Elise Mertens",1,0
"Alize Cornet","Hailey Baptiste",1,0
"Alize Cornet","Harmony Tan",0,1
"Alize Cornet","Jelena Ostapenko",1,0
"Alize Cornet","Kristyna Pliskova",1,0
"Alize Cornet","Linda Fruhvirtova",0,1
"Alize Cornet","Magda Linette",0,1
"Alize Cornet","Mayar Sherif",0,1
"Alize Cornet","Misaki Doi",1,0
"Alize Cornet","Ons Jabeur",0,1
"Alize Cornet","Qinwen Zheng",0,1
"Alize Cornet","Simona Halep",0,1
"Alize Cornet","Varvara Gracheva",0,1
"Anna Lena Friedsam","Alycia Parks",0,1
"Alycia Parks","Fiona Ferro",0,1
"Alycia Parks","Ons Jabeur",0,1
"Amanda Anisimova","Anna Karolina Schmiedlova",1,0
"Aryna Sabalenka","Amanda Anisimova",2,1
"Amanda Anisimova","Belinda Bencic",1,0
"Amanda Anisimova","Coco Vandeweghe",1,0
"Amanda Anisimova","Cori Gauff",0,1
"Amanda Anisimova","Danielle Collins",1,0
"Amanda Anisimova","Donna Vekic",1,0
"Amanda Anisimova","Ekaterina Alexandrova",0,1
"Amanda Anisimova","Elina Svitolina",0,1
"Amanda Anisimova","Jasmine Paolini",1,0
"Amanda Anisimova","Karolina Muchova",1,0
"Amanda Anisimova","Leylah Fernandez",0,1
"Amanda Anisimova","Magda Linette",1,0
"Amanda Anisimova","Maria Sakkari",0,1
"Amanda Anisimova","Naomi Osaka",1,0
"Amanda Anisimova","Ons Jabeur",0,1
"Amanda Anisimova","Petra Martic",1,0
"Amanda Anisimova","Qiang Wang",1,0
"Amanda Anisimova","Shelby Rogers",0,1
"Amanda Anisimova","Tereza Martincova",1,0
"Amanda Anisimova","Veronika Kudermetova",0,1
"Amanda Anisimova","Victoria Azarenka",1,0
"Amanda Anisimova","Yulia Putintseva",1,0
"Ana Bogdan","Ana Konjuh",1,0
"Ana Bogdan","Anastasija Sevastova",0,1
"Ana Bogdan","Anna Karolina Schmiedlova",1,0
"Ana Bogdan","Barbora Krejcikova",1,0
"Ana Bogdan","Caroline Garcia",0,1
"Ana Bogdan","Elisabetta Cocciaretto",1,0
"Ana Bogdan","Irina Camelia Begu",1,0
"Ana Bogdan","Katerina Siniakova",1,0
"Ana Bogdan","Kateryna Baindl",1,1
"Ana Bogdan","Laura Pigossi",2,0
"Ana Bogdan","Mayar Sherif",0,1
"Ana Bogdan","Nao Hibino",1,0
"Ana Bogdan","Naomi Osaka",1,0
"Ana Bogdan","Nuria Parrizas Diaz",1,0
"Ana Bogdan","Panna Udvardy",2,0
"Ana Bogdan","Paula Badosa",0,1
"Ana Bogdan","Sara Errani",0,1
"Ana Bogdan","Sara Sorribes Tormo",0,1
"Ana Bogdan","Varvara Lepchenko",1,0
"Ana Bogdan","Veronika Kudermetova",0,2
"Ana Bogdan","Victoria Azarenka",0,1
"Ana Bogdan","Xiyu Wang",0,1
"Ana Konjuh","Aryna Sabalenka",0,1
"Ana Konjuh","Caijsa Wilda Hennemann",1,0
"Ana Konjuh","Camila Osorio",1,0
"Ana Konjuh","Jasmine Paolini",1,0
"Ana Konjuh","Kaja Juvan",0,1
"Ana Konjuh","Katerina Siniakova",0,1
"Ana Konjuh","Linda Fruhvirtova",0,1
"Ana Konjuh","Marta Kostyuk",0,1
"Ana Konjuh","Nadia Podoroska",1,0
"Ana Konjuh","Oceane Dodin",0,1
"Ana Konjuh","Paula Badosa",0,1
"Ana Konjuh","Qiang Wang",1,0
"Ana Konjuh","Sara Errani",1,1
"Ana Konjuh","Yulia Putintseva",1,1
"Anastasia Pavlyuchenkova","Anastasia Potapova",0,1
"Anastasia Pavlyuchenkova","Aryna Sabalenka",1,1
"Anastasia Pavlyuchenkova","Barbora Krejcikova",0,1
"Anastasia Pavlyuchenkova","Christina Mchale",1,0
"Anastasia Pavlyuchenkova","Elena Rybakina",1,0
"Anastasia Pavlyuchenkova","Jennifer Brady",1,0
"Anastasia Pavlyuchenkova","Karolina Muchova",1,0
"Anastasia Pavlyuchenkova","Karolina Pliskova",1,0
"Anastasia Pavlyuchenkova","Leylah Fernandez",0,1
"Anastasia Pavlyuchenkova","Madison Keys",1,0
"Anastasia Pavlyuchenkova","Sara Sorribes Tormo",0,1
"Anastasia Pavlyuchenkova","Tamara Zidansek",1,0
"Anastasia Pavlyuchenkova","Victoria Azarenka",1,0
"Anastasia Potapova","Anastasija Sevastova",0,1
"Anastasia Potapova","Anett Kontaveit",0,1
"Anastasia Potapova","Barbora Krejcikova",1,0
"Anastasia Potapova","Irina Camelia Begu",1,0
"Anastasia Potapova","Jule Niemeier",1,0
"Anastasia Potapova","Leylah Fernandez",0,1
"Anastasia Potapova","Lucia Bronzetti",1,0
"Anastasia Potapova","Maria Carle",1,0
"Anastasia Potapova","Naomi Osaka",0,1
"Anastasia Potapova","Olga Danilovic",0,1
"Anastasia Potapova","Petra Martic",1,0
"Anastasia Potapova","Sara Sorribes Tormo",1,0
"Anastasia Potapova","Sorana Cirstea",0,1
"Anastasia Potapova","Varvara Gracheva",1,0
"Anastasia Potapova","Veronika Kudermetova",1,0
"Anastasia Potapova","Yulia Putintseva",1,0
"Anastasija Sevastova","Caty Mcnally",0,1
"Anastasija Sevastova","Jennifer Brady",0,1
"Anastasija Sevastova","Jil Teichmann",1,0
"Anastasija Sevastova","Karolina Pliskova",0,1
"Anastasija Sevastova","Paula Badosa",0,1
"Andrea Petkovic","Anett Kontaveit",0,1
"Andrea Petkovic","Anna Lena Friedsam",1,0
"Andrea Petkovic","Elena Gabriela Ruse",0,1
"Andrea Petkovic","Jaqueline Cristian",1,0
"Andrea Petkovic","Jule Niemeier",1,0
"Andrea Petkovic","Karolina Muchova",0,1
"Andrea Petkovic","Leylah Fernandez",0,1
"Andrea Petkovic","Maria Sakkari",0,1
"Andrea Petkovic","Mayar Sherif",1,0
"Andrea Petkovic","Misaki Doi",1,0
"Andrea Petkovic","Oceane Dodin",1,0
"Andrea Petkovic","Paula Badosa",0,1
"Andrea Petkovic","Tamara Korpatsch",1,0
"Andrea Petkovic","Victoria Azarenka",0,1
"Andrea Petkovic","Ysaline Bonaventure",1,0
"Andrea Petkovic","Yulia Putintseva",1,0
"Anett Kontaveit","Angelique Kerber",1,0
"Anett Kontaveit","Aryna Sabalenka",0,2
"Anett Kontaveit","Bernarda Pera",0,1
"Anett Kontaveit","Ekaterina Alexandrova",1,0
"Anett Kontaveit","Iga Swiatek",0,1
"Anett Kontaveit","Irina Bara",1,0
"Anett Kontaveit","Kristina Mladenovic",1,0
"Anett Kontaveit","Maria Sakkari",0,1
"Anett Kontaveit","Petra Martic",0,1
"Anett Kontaveit","Rebecca Peterson",1,0
"Anett Kontaveit","Sofia Kenin",1,0
"Anett Kontaveit","Viktorija Golubic",1,0
"Angelique Kerber","Anhelina Kalinina",0,1
"Angelique Kerber","Cori Gauff",0,1
"Angelique Kerber","Diane Parry",1,0
"Angelique Kerber","Ekaterine Gorgodze",1,0
"Angelique Kerber","Elena Rybakina",0,1
"Angelique Kerber","Elina Svitolina",0,1
"Angelique Kerber","Jelena Ostapenko",0,1
"Angelique Kerber","Kaja Juvan",1,0
"Angelique Kerber","Magda Linette",1,0
"Angelique Kerber","Magdalena Frech",1,0
"Angelique Kerber","Marketa Vondrousova",1,0
"Angelique Kerber","Oceane Dodin",1,0
"Angelique Kerber","Petra Kvitova",0,1
"Angelique Kerber","Simona Halep",1,0
"Angelique Kerber","Yulia Putintseva",0,1
"Anhelina Kalinina","Anna Kalinskaya",1,0
"Anhelina Kalinina","Bernarda Pera",1,0
"Anhelina Kalinina","Danielle Collins",1,1
"Anhelina Kalinina","Elena Rybakina",1,0
"Anhelina Kalinina","Emma Raducanu",1,0
"Anhelina Kalinina","Garbine Muguruza",1,0
"Anhelina Kalinina","Hailey Baptiste",1,0
"Anhelina Kalinina","Jessica Pegula",0,2
"Anhelina Kalinina","Jil Teichmann",0,1
"Anhelina Kalinina","Katerina Siniakova",0,1
"Anhelina Kalinina","Madison Keys",1,0
"Anhelina Kalinina","Ons Jabeur",0,1
"Anhelina Kalinina","Panna Udvardy",1,0
"Anhelina Kalinina","Petra Martic",0,1
"Anhelina Kalinina","Sloane Stephens",1,0
"Anhelina Kalinina","Yulia Putintseva",0,1
"Ankita Raina","Qiang Wang",0,1
"Anna Karolina Schmiedlova","Anna Blinkova",1,0
"Anna Blinkova","Hailey Baptiste",0,1
"Anna Blinkova","Jil Teichmann",0,1
"Anna Blinkova","Lucia Bronzetti",0,1
"Anna Bondar","Anna Karolina Schmiedlova",1,0
"Anna Bondar","Bernarda Pera",0,1
"Anna Bondar","Claire Liu",0,1
"Anna Bondar","Clara Burel",1,0
"Anna Bondar","Daria Kasatkina",0,1
"Anna Bondar","Ipek Oz",0,1
"Anna Bondar","Kristina Kucova",1,0
"Anna Bondar","Kristina Mladenovic",0,1
"Maileen Nuudi","Anna Bondar",0,1
"Anna Bondar","Martina Trevisan",1,0
"Anna Bondar","Mayar Sherif",0,1
"Anna Bondar","Nuria Parrizas Diaz",1,0
"Anna Bondar","Panna Udvardy",1,0
"Anna Bondar","Paula Badosa",0,1
"Anna Bondar","Petra Kvitova",0,1
"Anna Bondar","Sara Sorribes Tormo",0,1
"Anna Bondar","Tamara Korpatsch",0,1
"Anna Bondar","Tereza Martincova",1,0
"Anna Bondar","Veronika Kudermetova",0,1
