"player1","player2","win1","win2"
"Ajla Tomljanovic","Alize Cornet",2,0
"Ajla Tomljanovic","Ashleigh Barty",0,1
"Ajla Tomljanovic","Barbora Krejcikova",1,0
"Ajla Tomljanovic","Coco Vandeweghe",0,1
"Ajla Tomljanovic","Elena Rybakina",0,1
"Ajla Tomljanovic","Elise Mertens",1,0
"Ajla Tomljanovic","Emma Raducanu",1,0
"Ajla Tomljanovic","Greet Minnen",1,0
"Ajla Tomljanovic","Jelena Ostapenko",1,1
"Ajla Tomljanovic","Katie Boulter",1,0
"Viktorija Golubic","Ajla Tomljanovic",1,0
"Xin Yu Wang","Ajla Tomljanovic",0,1
"Andrea Petkovic","Aliaksandra Sasnovich",0,1
"Aliaksandra Sasnovich","Angelique Kerber",0,1
"Aliaksandra Sasnovich","Caroline Garcia",0,1
"Aliaksandra Sasnovich","Ons Jabeur",0,1
"Aryna Sabalenka","Alison Riske Amritraj",1,0
"Alison Riske Amritraj","Beatriz Haddad Maia",0,1
"Alison Riske Amritraj","Caroline Garcia",1,0
"Alison Riske Amritraj","Harriet Dart",1,0
"Alison Riske Amritraj","Katie Boulter",0,1
"Alison Riske Amritraj","Lauren Davis",0,1
"Alison Riske Amritraj","Magda Linette",0,1
"Alison Riske Amritraj","Marie Bouzkova",0,1
"Alison Riske Amritraj","Tereza Martincova",0,1
"Alison Riske Amritraj","Veronika Kudermetova",1,0
"Alison Riske Amritraj","Viktorija Golubic",1,0
"Alison Van Uytvanck","Amanda Anisimova",0,1
"Aryna Sabalenka","Alison Van Uytvanck",1,0
"Alison Van Uytvanck","Elina Svitolina",0,1
"Alison Van Uytvanck","Elise Mertens",1,0
"Alison Van Uytvanck","Emma Raducanu",0,1
"Alison Van Uytvanck","Johanna Konta",0,1
"Alison Van Uytvanck","Tamara Korpatsch",1,0
"Alison Van Uytvanck","Viktorija Golubic",1,0
"Alize Cornet","Amanda Anisimova",1,0
"Alize Cornet","Angelique Kerber",1,0
"Alize Cornet","Anna Kalinskaya",1,1
"Alize Cornet","Belinda Bencic",0,1
"Alize Cornet","Bianca Andreescu",2,0
"Alize Cornet","Caroline Garcia",0,1
"Alize Cornet","Claire Liu",1,0
"Alize Cornet","Garbine Muguruza",1,0
"Alize Cornet","Iga Swiatek",1,0
"Alize Cornet","Tatjana Maria",1,0
"Alize Cornet","Victoria Azarenka",0,1
"Alize Cornet","Yulia Putintseva",1,0
"Amanda Anisimova","Andrea Petkovic",1,0
"Amanda Anisimova","Angelique Kerber",0,1
"Amanda Anisimova","Ann Li",1,0
"Amanda Anisimova","Cori Gauff",1,0
"Amanda Anisimova","Harmony Tan",1,0
"Amanda Anisimova","Lauren Davis",1,0
"Amanda Anisimova","Magda Linette",0,1
"Amanda Anisimova","Simona Halep",0,2
"Donna Vekic","Anastasia Potapova",1,0
"Anastasia Potapova","Kristina Mladenovic",1,0
"Anastasia Potapova","Nina Stojanovic",1,0
"Anastasia Potapova","Ons Jabeur",0,1
"Anastasia Potapova","Tatjana Maria",0,1
"Anastasija Sevastova","Barbora Krejcikova",0,1
"Cori Gauff","Anastasija Sevastova",0,1
"Anastasija Sevastova","Elena Rybakina",0,1
"Anastasija Sevastova","Marta Kostyuk",2,0
"Andrea Petkovic","Barbora Krejcikova",0,1
"Andrea Petkovic","Daria Kasatkina",0,1
"Andrea Petkovic","Garbine Muguruza",1,0
"Andrea Petkovic","Sorana Cirstea",1,0
"Andrea Petkovic","Victoria Azarenka",0,1
"Andrea Petkovic","Viktorija Golubic",0,1
"Anett Kontaveit","Bianca Andreescu",1,0
"Camila Giorgi","Anett Kontaveit",0,1
"Anett Kontaveit","Jelena Ostapenko",0,1
"Anett Kontaveit","Jule Niemeier",0,1
"Anett Kontaveit","Viktorija Golubic",1,0
"Angelique Kerber","Anna Blinkova",1,0
"Angelique Kerber","Ashleigh Barty",0,1
"Angelique Kerber","Cori Gauff",1,0
"Angelique Kerber","Elise Mertens",0,1
"Angelique Kerber","Karolina Muchova",1,0
"Angelique Kerber","Katerina Siniakova",1,0
"Angelique Kerber","Kristina Mladenovic",1,0
"Angelique Kerber","Magda Linette",1,0
"Angelique Kerber","Misaki Doi",1,0
"Angelique Kerber","Nina Stojanovic",1,0
"Angelique Kerber","Petra Kvitova",1,0
"Angelique Kerber","Sara Sorribes Tormo",1,0
"Angelique Kerber","Victoria Azarenka",0,1
"Anhelina Kalinina","Daria Kasatkina",0,1
"Anhelina Kalinina","Ekaterina Alexandrova",0,1
"Jelena Ostapenko","Anhelina Kalinina",1,0
"Anhelina Kalinina","Lesia Tsurenko",0,1
"Anhelina Kalinina","Maria Sakkari",1,0
"Anhelina Kalinina","Sorana Cirstea",1,0
"Anhelina Kalinina","Yulia Putintseva",1,0
"Ann Li","Cori Gauff",0,1
"Ann Li","Kirsten Flipkens",0,1
"Ann Li","Liudmila Samsonova",1,0
"Ann Li","Marie Bouzkova",0,1
"Ann Li","Nadia Podoroska",0,1
"Ann Li","Petra Kvitova",0,1
"Anna Blinkova","Ashleigh Barty",0,1
"Anna Blinkova","Greet Minnen",1,0
"Anna Blinkova","Veronika Kudermetova",0,1
"Anna Kalinskaya","Belinda Bencic",0,2
"Anna Kalinskaya","Camila Osorio",0,1
"Anna Kalinskaya","Ekaterina Alexandrova",0,1
"Camila Giorgi","Aryna Sabalenka",1,0
"Aryna Sabalenka","Camila Osorio",1,0
"Aryna Sabalenka","Ekaterina Alexandrova",0,1
"Aryna Sabalenka","Elena Rybakina",1,0
"Aryna Sabalenka","Karolina Pliskova",0,1
"Aryna Sabalenka","Kateryna Baindl",1,0
"Aryna Sabalenka","Katie Boulter",1,0
"Aryna Sabalenka","Madison Keys",0,1
"Aryna Sabalenka","Ons Jabeur",1,0
"Aryna Sabalenka","Shelby Rogers",1,0
"Aryna Sabalenka","Veronika Kudermetova",0,1
"Ashleigh Barty","Barbora Krejcikova",1,0
"Ashleigh Barty","Karolina Pliskova",1,0
"Ashleigh Barty","Katerina Siniakova",1,0
"Barbora Krejcikova","Marta Kostyuk",0,1
"Barbora Krejcikova","Viktorija Golubic",1,0
"Beatriz Haddad Maia","Camila Giorgi",1,0
"Beatriz Haddad Maia","Jodie Burrage",1,0
"Beatriz Haddad Maia","Kaia Kanepi",1,0
"Beatriz Haddad Maia","Kaja Juvan",0,1
"Beatriz Haddad Maia","Lesia Tsurenko",1,0
"Beatriz Haddad Maia","Magdalena Frech",1,0
"Beatriz Haddad Maia","Maria Sakkari",1,0
"Beatriz Haddad Maia","Petra Kvitova",1,1
"Beatriz Haddad Maia","Shuai Zhang",1,0
"Beatriz Haddad Maia","Simona Halep",1,0
"Beatriz Haddad Maia","Tereza Martincova",1,0
"Belinda Bencic","Ekaterina Alexandrova",1,0
"Belinda Bencic","Jule Niemeier",2,0
"Belinda Bencic","Kaja Juvan",0,1
"Belinda Bencic","Liudmila Samsonova",0,1
"Belinda Bencic","Madison Brengle",1,0
"Belinda Bencic","Maria Sakkari",1,0
"Belinda Bencic","Ons Jabeur",0,1
"Belinda Bencic","Petra Martic",2,0
"Belinda Bencic","Veronika Kudermetova",1,1
"Belinda Bencic","Viktorija Golubic",0,1
"Bianca Andreescu","Caroline Garcia",0,1
"Bianca Andreescu","Daria Kasatkina",1,0
"Bianca Andreescu","Elena Rybakina",0,1
"Bianca Andreescu","Karolina Pliskova",0,1
"Bianca Andreescu","Katerina Siniakova",1,0
"Bianca Andreescu","Simona Halep",1,0
"Camila Giorgi","Donna Vekic",0,1
"Camila Giorgi","Garbine Muguruza",1,0
"Camila Giorgi","Harriet Dart",0,1
"Camila Giorgi","Jelena Ostapenko",0,1
"Camila Giorgi","Karolina Muchova",0,1
"Camila Giorgi","Karolina Pliskova",1,0
"Camila Giorgi","Lauren Davis",1,0
"Camila Giorgi","Magdalena Frech",0,1
"Camila Giorgi","Rebecca Marino",1,0
"Camila Giorgi","Shelby Rogers",1,0
"Tereza Martincova","Camila Giorgi",0,1
"Camila Giorgi","Viktoriya Tomova",1,0
"Camila Osorio","Ekaterina Alexandrova",1,0
"Camila Osorio","Elise Mertens",0,1
"Camila Osorio","Harriet Dart",0,1
"Camila Osorio","Katie Boulter",0,1
"Camila Osorio","Lesia Tsurenko",0,1
"Camila Osorio","Maria Sakkari",0,1
"Caroline Garcia","Emma Raducanu",1,0
"Caroline Garcia","Harriet Dart",1,0
"Caroline Garcia","Jessica Pegula",0,1
"Caroline Garcia","Katie Boulter",0,1
"Caroline Garcia","Lauren Davis",1,0
"Caroline Garcia","Marie Bouzkova",0,2
"Caroline Garcia","Shuai Zhang",1,0
"Caroline Garcia","Viktorija Golubic",1,0
"Caty Mcnally","Donna Vekic",0,1
"Caty Mcnally","Ekaterina Alexandrova",0,1
"Caty Mcnally","Elise Mertens",1,0
"Caty Mcnally","Kristina Mladenovic",0,1
"Ons Jabeur","Caty Mcnally",1,0
"Caty Mcnally","Tamara Zidansek",1,0
"Claire Liu","Elena Rybakina",0,1
"Claire Liu","Jule Niemeier",0,1
"Claire Liu","Misaki Doi",1,0
"Coco Vandeweghe","Daria Kasatkina",0,1
"Coco Vandeweghe","Donna Vekic",0,1
"Coco Vandeweghe","Elena Rybakina",0,1
"Coco Vandeweghe","Katerina Siniakova",0,1
"Coco Vandeweghe","Marie Bouzkova",1,0
"Cori Gauff","Elise Mertens",1,0
"Cori Gauff","Kaja Juvan",1,0
"Cori Gauff","Karolina Pliskova",1,0
"Cori Gauff","Ons Jabeur",0,1
"Cori Gauff","Xin Yu Wang",1,0
"Daria Kasatkina","Ekaterina Alexandrova",1,0
"Daria Kasatkina","Iga Swiatek",1,0
"Daria Kasatkina","Jelena Ostapenko",0,2
"Daria Kasatkina","Jule Niemeier",1,0
"Daria Kasatkina","Maria Sakkari",0,1
"Daria Kasatkina","Marta Kostyuk",1,0
"Daria Kasatkina","Ons Jabeur",0,1
"Daria Kasatkina","Tereza Martincova",1,0
"Donna Vekic","Dayana Yastremska",1,0
"Dayana Yastremska","Ekaterina Alexandrova",0,1
"Dayana Yastremska","Jelena Ostapenko",1,0
"Dayana Yastremska","Magda Linette",1,0
"Dayana Yastremska","Shuai Zhang",0,1
"Donna Vekic","Harriet Dart",0,1
"Donna Vekic","Heather Watson",0,1
"Donna Vekic","Jessica Pegula",0,1
"Donna Vekic","Karolina Pliskova",0,1
"Donna Vekic","Nina Stojanovic",0,1
"Donna Vekic","Petra Kvitova",0,1
"Donna Vekic","Sorana Cirstea",0,1
"Ekaterina Alexandrova","Elina Svitolina",1,0
"Ekaterina Alexandrova","Veronika Kudermetova",1,0
"Elena Rybakina","Elina Svitolina",1,0
"Elena Rybakina","Garbine Muguruza",0,1
"Elena Rybakina","Harriet Dart",1,0
"Elena Rybakina","Jelena Ostapenko",0,1
"Elena Rybakina","Kristina Mladenovic",1,0
