"player1","player2","win1","win2"
"Ajla Tomljanovic","Aliaksandra Sasnovich",1,0
"Ajla Tomljanovic","Alize Cornet",0,1
"Ajla Tomljanovic","Amanda Anisimova",1,0
"Ajla Tomljanovic","Ana Bogdan",0,1
"Ajla Tomljanovic","Anastasia Pavlyuchenkova",0,1
"Ajla Tomljanovic","Anastasia Potapova",2,0
"Ajla Tomljanovic","Angelique Kerber",0,1
"Ajla Tomljanovic","Anna Karolina Schmiedlova",2,0
"Ajla Tomljanovic","Aryna Sabalenka",0,2
"Ajla Tomljanovic","Barbora Krejcikova",0,1
"Ajla Tomljanovic","Belinda Bencic",0,2
"Ajla Tomljanovic","Daria Kasatkina",0,1
"Ajla Tomljanovic","Elina Svitolina",0,1
"Ajla Tomljanovic","Elise Mertens",1,0
"Ajla Tomljanovic","Fernanda Contreras Gomez",1,0
"Ajla Tomljanovic","Fiona Ferro",0,1
"Ajla Tomljanovic","Garbine Muguruza",1,0
"Ajla Tomljanovic","Hailey Baptiste",1,0
"Ajla Tomljanovic","Harriet Dart",0,1
"Ajla Tomljanovic","Heather Watson",1,0
"Ajla Tomljanovic","Iga Swiatek",0,2
"Ajla Tomljanovic","Jaqueline Cristian",0,1
"Ajla Tomljanovic","Karolina Muchova",1,0
"Ajla Tomljanovic","Karolina Pliskova",0,1
"Ajla Tomljanovic","Katie Volynets",1,0
"Ajla Tomljanovic","Lin Zhu",1,0
"Ajla Tomljanovic","Liudmila Samsonova",2,1
"Ajla Tomljanovic","Lizette Cabrera",1,0
"Ajla Tomljanovic","Lucia Bronzetti",0,1
"Ajla Tomljanovic","Madison Keys",0,1
"Ajla Tomljanovic","Marketa Vondrousova",0,1
"Ajla Tomljanovic","Misaki Doi",1,0
"Ajla Tomljanovic","Naomi Osaka",0,1
"Ajla Tomljanovic","Ons Jabeur",0,1
"Ajla Tomljanovic","Paula Badosa",1,2
"Ajla Tomljanovic","Petra Kvitova",0,1
"Ajla Tomljanovic","Petra Martic",1,0
"Ajla Tomljanovic","Serena Williams",1,0
"Ajla Tomljanovic","Shuai Zhang",1,0
"Ajla Tomljanovic","Simona Halep",0,1
"Ajla Tomljanovic","Sloane Stephens",1,0
"Ajla Tomljanovic","Sofia Kenin",0,1
"Ajla Tomljanovic","Sorana Cirstea",0,1
"Ajla Tomljanovic","Storm Sanders",0,1
"Ajla Tomljanovic","Tamara Zidansek",1,0
"Ajla Tomljanovic","Varvara Gracheva",0,1
"Ajla Tomljanovic","Veronika Kudermetova",2,0
"Yaroslava Shvedova","Ajla Tomljanovic",0,1
"Ajla Tomljanovic","Yulia Putintseva",0,1
"Aleksandra Krunic","Aliaksandra Sasnovich",0,1
"Aleksandra Krunic","Anett Kontaveit",0,1
"Aleksandra Krunic","Barbora Krejcikova",1,0
"Aleksandra Krunic","Bernarda Pera",0,1
"Aleksandra Krunic","Jaqueline Cristian",0,1
"Aleksandra Krunic","Kaja Juvan",1,1
"Katie Boulter","Aleksandra Krunic",0,1
"Aleksandra Krunic","Liudmila Samsonova",0,1
"Aliaksandra Sasnovich","Alize Cornet",1,0
"Aliaksandra Sasnovich","Amanda Anisimova",0,1
"Aliaksandra Sasnovich","Ana Bogdan",1,0
"Aliaksandra Sasnovich","Anett Kontaveit",0,1
"Aliaksandra Sasnovich","Ann Li",1,0
"Aliaksandra Sasnovich","Anna Bondar",1,0
"Aliaksandra Sasnovich","Belinda Bencic",0,1
"Aliaksandra Sasnovich","Camila Osorio",2,0
"Aliaksandra Sasnovich","Caty Mcnally",0,1
"Aliaksandra Sasnovich","Christina Mchale",1,0
"Aliaksandra Sasnovich","Clara Burel",0,1
"Aliaksandra Sasnovich","Clara Tauson",1,0
"Aliaksandra Sasnovich","Daria Kasatkina",1,1
"Aliaksandra Sasnovich","Elena Rybakina",0,3
"Aliaksandra Sasnovich","Elisabetta Cocciaretto",1,0
"Aliaksandra Sasnovich","Elise Mertens",0,2
"Aliaksandra Sasnovich","Emma Raducanu",1,0
"Aliaksandra Sasnovich","Eugenie Bouchard",1,0
"Aliaksandra Sasnovich","Fiona Ferro",1,0
"Aliaksandra Sasnovich","Garbine Muguruza",0,1
"Aliaksandra Sasnovich","Heather Watson",0,1
"Aliaksandra Sasnovich","Irina Camelia Begu",1,2
"Aliaksandra Sasnovich","Jaqueline Cristian",1,0
"Aliaksandra Sasnovich","Jelena Ostapenko",1,1
"Aliaksandra Sasnovich","Jessica Pegula",0,1
"Aliaksandra Sasnovich","Lauren Davis",1,0
"Aliaksandra Sasnovich","Lesia Tsurenko",2,0
"Aliaksandra Sasnovich","Liudmila Samsonova",0,1
"Aliaksandra Sasnovich","Madison Brengle",1,0
"Aliaksandra Sasnovich","Madison Keys",1,0
"Aliaksandra Sasnovich","Magda Linette",1,0
"Aliaksandra Sasnovich","Marta Kostyuk",0,1
"Aliaksandra Sasnovich","Nadia Podoroska",1,0
"Aliaksandra Sasnovich","Ons Jabeur",0,1
"Aliaksandra Sasnovich","Petra Kvitova",0,1
"Aliaksandra Sasnovich","Qinwen Zheng",0,1
"Aliaksandra Sasnovich","Rebecca Peterson",1,0
"Aliaksandra Sasnovich","Sara Sorribes Tormo",1,0
"Aliaksandra Sasnovich","Shuai Zhang",1,0
"Aliaksandra Sasnovich","Simona Halep",1,1
"Aliaksandra Sasnovich","Victoria Azarenka",0,1
"Aliaksandra Sasnovich","Xin Yu Wang",2,0
"Aliona Bolsova","Ankita Raina",1,0
"Camila Giorgi","Aliona Bolsova",1,0
"Aliona Bolsova","Jennifer Brady",0,1
"Aliona Bolsova","Kaja Juvan",0,1
"Aliona Bolsova","Liudmila Samsonova",0,1
"Aliona Bolsova","Marie Bouzkova",0,1
"Aliona Bolsova","Qiang Wang",0,1
"Aliona Bolsova","Su Wei Hsieh",1,0
"Alison Riske Amritraj","Alize Cornet",2,0
"Alison Riske Amritraj","Ana Konjuh",0,1
"Alison Riske Amritraj","Anastasia Gasanova",0,1
"Alison Riske Amritraj","Anastasia Pavlyuchenkova",0,1
"Alison Riske Amritraj","Anastasia Potapova",0,1
"Alison Riske Amritraj","Anhelina Kalinina",1,0
"Alison Riske Amritraj","Ankita Raina",1,0
"Alison Riske Amritraj","Ann Li",1,0
"Alison Riske Amritraj","Anna Kalinskaya",0,1
"Alison Riske Amritraj","Bianca Andreescu",0,1
"Alison Riske Amritraj","Camila Osorio",1,0
"Alison Riske Amritraj","Caroline Garcia",0,1
"Alison Riske Amritraj","Caty Mcnally",1,0
"Alison Riske Amritraj","Claire Liu",0,1
"Alison Riske Amritraj","Coco Vandeweghe",1,0
"Alison Riske Amritraj","Danielle Collins",1,0
"Alison Riske Amritraj","Dayana Yastremska",1,0
"Alison Riske Amritraj","Donna Vekic",1,1
"Alison Riske Amritraj","Elena Rybakina",0,1
"Alison Riske Amritraj","Elizabeth Mandlik",0,1
"Alison Riske Amritraj","En Shuo Liang",1,0
"Alison Riske Amritraj","Fiona Ferro",1,0
"Alison Riske Amritraj","Garbine Muguruza",1,0
"Alison Riske Amritraj","Jaqueline Cristian",1,0
"Alison Riske Amritraj","Jasmine Paolini",0,1
"Alison Riske Amritraj","Jelena Ostapenko",1,1
"Alison Riske Amritraj","Jil Teichmann",1,1
"Alison Riske Amritraj","Kaja Juvan",1,0
"Alison Riske Amritraj","Kristina Mladenovic",1,0
"Alison Riske Amritraj","Leylah Fernandez",1,0
"Alison Riske Amritraj","Madison Brengle",1,0
"Alison Riske Amritraj","Madison Keys",0,2
"Alison Riske Amritraj","Magda Linette",1,1
